k12_site,k21_base,k12_pop,k21_pop,k12_pop_actual_hazard,k12_map_error,R01_pop,k10_pop,A_hat,m_hat,total_n1,total_n2
1.0510059072103193,0.5847043170066228,3.0549646923868465,0.9256965323146424,4.217813379830055,0.3225488020835157,2.3884814814814814,0.3,597.1203703703703,2.9067055393586005,343.0,1388.0
2.555440842767043,0.1851962856472518,6.681657249436765,0.3074198837089916,8.364882866588266,0.22467628352991234,2.289296296296296,0.29999999999999993,572.324074074074,2.614678899082569,109.0,2844.0
4.363337572153857,0.05130855971004342,9.629434641994719,0.08808843797907608,9.662124087158704,0.0033889927620875003,2.2184814814814815,0.3,554.6203703703703,2.206896551724138,29.0,3840.0
0.47269358618799456,0.5488176795790799,1.3780219800734756,0.8519801183566433,1.916785942286342,0.33000067179229087,2.4336296296296296,0.3,608.4074074074074,2.9152542372881354,354.0,773.0
0.7067710566621425,0.050587893482798046,1.9300286547312353,0.08764338110325043,2.540617893449408,0.2748724667662604,2.2755555555555556,0.30000000000000004,568.8888888888889,2.730769230769231,130.0,3019.0
0.4322285987575384,0.09395563325788887,1.1805913379286483,0.15742406352445884,1.5644752922684149,0.28153504447879335,2.3368148148148147,0.29999999999999993,584.2037037037037,2.731404958677686,242.0,2136.0
1.730944346819232,0.049249564530397145,4.406040155539864,0.08658158888845147,5.589297840023988,0.2378773070940825,2.223777777777778,0.3,555.9444444444445,2.5454545454545454,66.0,3750.0
0.6499867936186793,0.08821391086330416,1.7502248557336313,0.14773289327354489,2.2417023478769087,0.24749128528955833,2.3017777777777777,0.29999999999999993,575.4444444444445,2.6927083333333335,192.0,2634.0
0.7570538707439454,0.31024168327662327,2.154691785963537,0.49567485814111273,2.9381767775606003,0.310141554722846,2.3804814814814814,0.30000000000000004,595.1203703703703,2.8461538461538463,273.0,1531.0
0.7689134870974955,0.027796994326213083,1.8992163131308142,0.047992666756250885,2.2352653085789527,0.1629185930084832,2.2372592592592593,0.29999999999999993,559.3148148148148,2.47,100.0,3551.0
3.3832217193463805,0.102244175005216,8.836773147546516,0.17198488591928315,10.447231442653768,0.1674152281400159,2.2378888888888886,0.30000000000000004,559.4722222222222,2.611940298507463,67.0,3559.0
8.14831390345746,0.0297367812075376,17.848687598049676,0.051524467022652565,17.944257104815524,0.005340143688827644,2.185296296296296,0.29999999999999993,546.324074074074,2.1904761904761907,21.0,4292.0
1.490588846637065,0.1132675435722903,3.8196339195074787,0.19173918723625663,4.64351627718633,0.19531731216135786,2.2866666666666666,0.3,571.6666666666666,2.5625,144.0,2862.0
6.528364021928237,0.5859760398288306,17.361663739475816,0.951101672326775,21.71679768061586,0.22382150559269068,2.2794074074074073,0.3,569.8518518518518,2.6594202898550723,138.0,2963.0
